ResponseID,TrainingName,TrainingType,LearningCategory,SessionDate,AttendeeType,BusinessUnit,Role,Rating,FeedbackText,Theme,Sentiment,SuggestedAction,FollowUpRecommendation
R001,AI for All,Virtual,Digital Upskilling,6/12/2026,Employee,Customer Service,Manager,3,Module 2 moved too fast and I needed more time to practice.,Pacing,Mixed,Add checkpoints and split Module 2 into shorter segments.,Offer a 5-minute recap and optional practice lab.
R002,Leading Through Change,Hybrid,Leadership,5/8/2026,Contractor,IT,Analyst,4,"The session was useful, but the middle section felt rushed.",Pacing,Mixed,Add checkpoints and split Module 2 into shorter segments.,Offer a 5-minute recap and optional practice lab.
R003,Power BI Basics,Virtual,Analytics,5/15/2026,Employee,Customer Service,Intern,5,Please recommend what course to take next.,Follow-up Resources,Mixed,Send automated resource pack and next-course recommendations.,Send curated resource pack.
R004,Leading Through Change,Hybrid,Leadership,5/20/2026,Employee,Legal,HR Partner,1,The calendar invite did not update cleanly after the time changed.,Technical Issues,Negative,Send tested links and calendar updates 24 hours before session.,Send corrected link and support instructions.
R005,Power BI Basics,Virtual,Analytics,5/8/2026,Employee,Nuclear,Intern,2,The cancellation notice did not make it obvious that the class moved.,Registration Experience,Negative,"Automate reminders, updates, and attendance confirmation.",Confirm attendance and provide reschedule option.
R006,Safety Leadership Workshop,Live,Safety,5/27/2026,Employee,Renewables,Engineer,5,The instructor was engaging and explained the topic clearly.,Instructor Quality,Positive,Reuse facilitator approach and capture best-practice clips.,Ask attendee to share course with peers.
R007,Leading Through Change,Hybrid,Leadership,5/6/2026,Employee,Customer Service,Engineer,3,The calendar invite did not update cleanly after the time changed.,Technical Issues,Negative,Send tested links and calendar updates 24 hours before session.,Send corrected link and support instructions.
R008,Safety Leadership Workshop,Live,Safety,5/29/2026,Employee,Legal,Project Manager,3,The instructor covered a lot quickly; a short pause after each demo would help.,Pacing,Mixed,Add checkpoints and split Module 2 into shorter segments.,Offer a 5-minute recap and optional practice lab.
R009,Power BI Basics,Virtual,Analytics,6/5/2026,Employee,Finance,Engineer,3,I wanted more guided practice and fewer slides.,Hands-on Exercises,Mixed,Add step-by-step lab guide and completed example file.,Send lab guide and office-hours invite.
R010,Leading Through Change,Hybrid,Leadership,5/20/2026,Employee,Renewables,Intern,3,I wanted more coverage of how this applies after the session.,Content Gaps,Mixed,Add NextEra-specific case studies and optional advanced module.,Send deeper-dive material and collect additional questions.
R011,Safety Leadership Workshop,Live,Safety,5/27/2026,Employee,IT,HR Partner,1,The cancellation notice did not make it obvious that the class moved.,Registration Experience,Negative,"Automate reminders, updates, and attendance confirmation.",Confirm attendance and provide reschedule option.
R012,AI for All,Virtual,Digital Upskilling,5/27/2026,Employee,Customer Service,Supervisor,4,I would like a version tailored to field and plant employees.,Role Relevance,Mixed,"Create role-specific examples for office, field, and plant employees.",Recommend a role-specific learning path.
R013,Power BI Basics,Virtual,Analytics,6/5/2026,Employee,Finance,Intern,2,I had trouble accessing the file shared during the session.,Technical Issues,Negative,Send tested links and calendar updates 24 hours before session.,Send corrected link and support instructions.
R014,Safety Leadership Workshop,Live,Safety,6/17/2026,Intern,Renewables,Engineer,3,I liked the concepts but wanted more examples for my business unit.,Role Relevance,Mixed,"Create role-specific examples for office, field, and plant employees.",Recommend a role-specific learning path.
R015,AI for All,Virtual,Digital Upskilling,5/27/2026,Contractor,Nuclear,Intern,3,I would like a version tailored to field and plant employees.,Role Relevance,Mixed,"Create role-specific examples for office, field, and plant employees.",Recommend a role-specific learning path.
R016,Leading Through Change,Hybrid,Leadership,6/17/2026,Employee,Nuclear,Project Manager,3,The lab environment was slow and made the exercise hard to follow.,Technical Issues,Negative,Send tested links and calendar updates 24 hours before session.,Send corrected link and support instructions.
R017,AI for All,Virtual,Digital Upskilling,6/12/2026,Employee,Renewables,Analyst,2,The lab environment was slow and made the exercise hard to follow.,Technical Issues,Negative,Send tested links and calendar updates 24 hours before session.,Send corrected link and support instructions.
R018,Leading Through Change,Hybrid,Leadership,6/19/2026,Intern,Nuclear,Project Manager,2,I signed up but did not receive clear reminder instructions.,Registration Experience,Negative,"Automate reminders, updates, and attendance confirmation.",Confirm attendance and provide reschedule option.
R019,Power BI Basics,Virtual,Analytics,5/29/2026,Intern,IT,HR Partner,3,The hands-on portion was valuable but hard to follow without step-by-step instructions.,Hands-on Exercises,Mixed,Add step-by-step lab guide and completed example file.,Send lab guide and office-hours invite.
R020,AI for All,Virtual,Digital Upskilling,6/5/2026,Employee,IT,Field Technician,3,The hands-on portion was valuable but hard to follow without step-by-step instructions.,Hands-on Exercises,Mixed,Add step-by-step lab guide and completed example file.,Send lab guide and office-hours invite.
R021,AI for All,Virtual,Digital Upskilling,6/10/2026,Employee,Power Generation,Manager,3,There were gaps between the intro material and the exercise.,Content Gaps,Mixed,Add NextEra-specific case studies and optional advanced module.,Send deeper-dive material and collect additional questions.
R022,Leading Through Change,Hybrid,Leadership,6/3/2026,Intern,Legal,Field Technician,3,The training would be stronger with role-specific scenarios.,Role Relevance,Mixed,"Create role-specific examples for office, field, and plant employees.",Recommend a role-specific learning path.
R023,Safety Leadership Workshop,Live,Safety,5/15/2026,Contractor,Renewables,Engineer,3,I wanted more guided practice and fewer slides.,Hands-on Exercises,Mixed,Add step-by-step lab guide and completed example file.,Send lab guide and office-hours invite.
R024,AI for All,Virtual,Digital Upskilling,5/6/2026,Intern,Customer Service,Field Technician,1,The Teams link was confusing and several people joined late.,Technical Issues,Negative,Send tested links and calendar updates 24 hours before session.,Send corrected link and support instructions.
R025,AI for All,Virtual,Digital Upskilling,6/3/2026,Employee,HR,Engineer,2,The training would be stronger with role-specific scenarios.,Role Relevance,Mixed,"Create role-specific examples for office, field, and plant employees.",Recommend a role-specific learning path.
R026,Safety Leadership Workshop,Live,Safety,5/15/2026,Employee,Power Generation,Supervisor,5,The speaker made the topic practical and approachable.,Instructor Quality,Positive,Reuse facilitator approach and capture best-practice clips.,Ask attendee to share course with peers.
R027,Cybersecurity Essentials,Virtual,Compliance,5/27/2026,Employee,Legal,HR Partner,2,I would like a version tailored to field and plant employees.,Role Relevance,Mixed,"Create role-specific examples for office, field, and plant employees.",Recommend a role-specific learning path.
R028,Cybersecurity Essentials,Virtual,Compliance,6/12/2026,Employee,IT,Intern,2,"The overview was good, but the course needs a deeper advanced section.",Content Gaps,Mixed,Add NextEra-specific case studies and optional advanced module.,Send deeper-dive material and collect additional questions.
R029,AI for All,Virtual,Digital Upskilling,5/27/2026,Employee,Renewables,Manager,3,The training would be stronger with role-specific scenarios.,Role Relevance,Mixed,"Create role-specific examples for office, field, and plant employees.",Recommend a role-specific learning path.
R030,Safety Leadership Workshop,Live,Safety,5/6/2026,Employee,Renewables,Engineer,4,Please send a quick reference guide after the training.,Follow-up Resources,Mixed,Send automated resource pack and next-course recommendations.,Send curated resource pack.
R031,AI for All,Virtual,Digital Upskilling,5/29/2026,Employee,Legal,Supervisor,2,I signed up but did not receive clear reminder instructions.,Registration Experience,Negative,"Automate reminders, updates, and attendance confirmation.",Confirm attendance and provide reschedule option.
R032,Cybersecurity Essentials,Virtual,Compliance,5/20/2026,Contractor,IT,Intern,3,The content was strong but the exercises needed more time.,Pacing,Mixed,Add checkpoints and split Module 2 into shorter segments.,Offer a 5-minute recap and optional practice lab.
R033,Safety Leadership Workshop,Live,Safety,5/20/2026,Contractor,Power Generation,Field Technician,4,I wanted more guided practice and fewer slides.,Hands-on Exercises,Mixed,Add step-by-step lab guide and completed example file.,Send lab guide and office-hours invite.
R034,AI for All,Virtual,Digital Upskilling,5/6/2026,Employee,HR,Analyst,5,The speaker made the topic practical and approachable.,Instructor Quality,Positive,Reuse facilitator approach and capture best-practice clips.,Ask attendee to share course with peers.
R035,Leading Through Change,Hybrid,Leadership,5/8/2026,Employee,Nuclear,Manager,4,Please send a quick reference guide after the training.,Follow-up Resources,Mixed,Send automated resource pack and next-course recommendations.,Send curated resource pack.
R036,Power BI Basics,Virtual,Analytics,6/5/2026,Intern,Customer Service,Analyst,2,The hands-on portion was valuable but hard to follow without step-by-step instructions.,Hands-on Exercises,Mixed,Add step-by-step lab guide and completed example file.,Send lab guide and office-hours invite.
R037,Cybersecurity Essentials,Virtual,Compliance,5/15/2026,Intern,HR,Project Manager,5,The instructor answered questions well and kept the group engaged.,Instructor Quality,Positive,Reuse facilitator approach and capture best-practice clips.,Ask attendee to share course with peers.
R038,Power BI Basics,Virtual,Analytics,5/22/2026,Employee,Finance,Supervisor,2,The Teams link was confusing and several people joined late.,Technical Issues,Negative,Send tested links and calendar updates 24 hours before session.,Send corrected link and support instructions.
R039,AI for All,Virtual,Digital Upskilling,6/3/2026,Intern,Nuclear,Engineer,5,A follow-up email with links and next steps would help me retain this.,Follow-up Resources,Mixed,Send automated resource pack and next-course recommendations.,Send curated resource pack.
R040,Leading Through Change,Hybrid,Leadership,5/22/2026,Employee,Nuclear,Field Technician,2,The lab environment was slow and made the exercise hard to follow.,Technical Issues,Negative,Send tested links and calendar updates 24 hours before session.,Send corrected link and support instructions.
R041,Power BI Basics,Virtual,Analytics,6/10/2026,Employee,IT,Project Manager,4,The hands-on portion was valuable but hard to follow without step-by-step instructions.,Hands-on Exercises,Mixed,Add step-by-step lab guide and completed example file.,Send lab guide and office-hours invite.
R042,Power BI Basics,Virtual,Analytics,5/20/2026,Employee,Power Generation,Project Manager,1,The calendar invite did not update cleanly after the time changed.,Technical Issues,Negative,Send tested links and calendar updates 24 hours before session.,Send corrected link and support instructions.
R043,Safety Leadership Workshop,Live,Safety,6/19/2026,Intern,Renewables,Project Manager,3,I liked the concepts but wanted more examples for my business unit.,Role Relevance,Mixed,"Create role-specific examples for office, field, and plant employees.",Recommend a role-specific learning path.
R044,AI for All,Virtual,Digital Upskilling,5/22/2026,Employee,IT,Analyst,5,Great facilitator; the examples made the topic easier to understand.,Instructor Quality,Positive,Reuse facilitator approach and capture best-practice clips.,Ask attendee to share course with peers.
R045,Safety Leadership Workshop,Live,Safety,5/8/2026,Intern,Legal,Analyst,3,I liked the concepts but wanted more examples for my business unit.,Role Relevance,Mixed,"Create role-specific examples for office, field, and plant employees.",Recommend a role-specific learning path.
R046,Power BI Basics,Virtual,Analytics,5/13/2026,Employee,Power Generation,Intern,3,Please send a quick reference guide after the training.,Follow-up Resources,Mixed,Send automated resource pack and next-course recommendations.,Send curated resource pack.
R047,Safety Leadership Workshop,Live,Safety,6/10/2026,Employee,Customer Service,Field Technician,2,The hands-on portion was valuable but hard to follow without step-by-step instructions.,Hands-on Exercises,Mixed,Add step-by-step lab guide and completed example file.,Send lab guide and office-hours invite.
R048,Safety Leadership Workshop,Live,Safety,6/19/2026,Contractor,Power Generation,Field Technician,3,I signed up but did not receive clear reminder instructions.,Registration Experience,Negative,"Automate reminders, updates, and attendance confirmation.",Confirm attendance and provide reschedule option.
R049,Power BI Basics,Virtual,Analytics,6/17/2026,Employee,HR,Intern,2,I wanted more guided practice and fewer slides.,Hands-on Exercises,Mixed,Add step-by-step lab guide and completed example file.,Send lab guide and office-hours invite.
R050,Safety Leadership Workshop,Live,Safety,5/15/2026,Contractor,IT,Supervisor,2,The training would be stronger with role-specific scenarios.,Role Relevance,Mixed,"Create role-specific examples for office, field, and plant employees.",Recommend a role-specific learning path.
R051,Cybersecurity Essentials,Virtual,Compliance,6/10/2026,Employee,Customer Service,Analyst,3,I wanted more guided practice and fewer slides.,Hands-on Exercises,Mixed,Add step-by-step lab guide and completed example file.,Send lab guide and office-hours invite.
R052,Cybersecurity Essentials,Virtual,Compliance,6/10/2026,Employee,Finance,HR Partner,2,I had trouble accessing the file shared during the session.,Technical Issues,Negative,Send tested links and calendar updates 24 hours before session.,Send corrected link and support instructions.
R053,Leading Through Change,Hybrid,Leadership,6/5/2026,Employee,Finance,Manager,1,The lab environment was slow and made the exercise hard to follow.,Technical Issues,Negative,Send tested links and calendar updates 24 hours before session.,Send corrected link and support instructions.
R054,AI for All,Virtual,Digital Upskilling,5/27/2026,Contractor,HR,HR Partner,4,Module 2 moved too fast and I needed more time to practice.,Pacing,Mixed,Add checkpoints and split Module 2 into shorter segments.,Offer a 5-minute recap and optional practice lab.
R055,Cybersecurity Essentials,Virtual,Compliance,5/6/2026,Employee,IT,Intern,5,Great facilitator; the examples made the topic easier to understand.,Instructor Quality,Positive,Reuse facilitator approach and capture best-practice clips.,Ask attendee to share course with peers.
R056,Safety Leadership Workshop,Live,Safety,6/12/2026,Employee,HR,Engineer,2,"The exercise was helpful, but the instructions should be clearer.",Hands-on Exercises,Mixed,Add step-by-step lab guide and completed example file.,Send lab guide and office-hours invite.
R057,Leading Through Change,Hybrid,Leadership,6/3/2026,Employee,Legal,Project Manager,2,The calendar invite did not update cleanly after the time changed.,Technical Issues,Negative,Send tested links and calendar updates 24 hours before session.,Send corrected link and support instructions.
R058,Power BI Basics,Virtual,Analytics,6/3/2026,Employee,Finance,Intern,3,The hands-on portion was valuable but hard to follow without step-by-step instructions.,Hands-on Exercises,Mixed,Add step-by-step lab guide and completed example file.,Send lab guide and office-hours invite.
R059,Safety Leadership Workshop,Live,Safety,5/29/2026,Contractor,HR,Supervisor,2,I had trouble accessing the file shared during the session.,Technical Issues,Negative,Send tested links and calendar updates 24 hours before session.,Send corrected link and support instructions.
R060,Power BI Basics,Virtual,Analytics,6/3/2026,Employee,Nuclear,Project Manager,4,I would like a short study guide based on the topics we missed.,Follow-up Resources,Mixed,Send automated resource pack and next-course recommendations.,Send curated resource pack.
R061,AI for All,Virtual,Digital Upskilling,5/13/2026,Employee,Customer Service,Field Technician,2,Registration was confusing and the calendar download did not work for me.,Registration Experience,Negative,"Automate reminders, updates, and attendance confirmation.",Confirm attendance and provide reschedule option.
R062,AI for All,Virtual,Digital Upskilling,5/27/2026,Intern,Nuclear,Supervisor,3,The training would be stronger with role-specific scenarios.,Role Relevance,Mixed,"Create role-specific examples for office, field, and plant employees.",Recommend a role-specific learning path.
R063,Cybersecurity Essentials,Virtual,Compliance,6/17/2026,Employee,Power Generation,Analyst,4,Please send a quick reference guide after the training.,Follow-up Resources,Mixed,Send automated resource pack and next-course recommendations.,Send curated resource pack.
R064,Cybersecurity Essentials,Virtual,Compliance,6/3/2026,Intern,Renewables,Analyst,3,The training would be stronger with role-specific scenarios.,Role Relevance,Mixed,"Create role-specific examples for office, field, and plant employees.",Recommend a role-specific learning path.
R065,AI for All,Virtual,Digital Upskilling,6/5/2026,Contractor,HR,Supervisor,4,Please recommend what course to take next.,Follow-up Resources,Mixed,Send automated resource pack and next-course recommendations.,Send curated resource pack.
R066,Leading Through Change,Hybrid,Leadership,6/17/2026,Contractor,Renewables,Project Manager,3,I wanted more guided practice and fewer slides.,Hands-on Exercises,Mixed,Add step-by-step lab guide and completed example file.,Send lab guide and office-hours invite.
R067,Safety Leadership Workshop,Live,Safety,5/29/2026,Contractor,Customer Service,Project Manager,3,Registration was confusing and the calendar download did not work for me.,Registration Experience,Negative,"Automate reminders, updates, and attendance confirmation.",Confirm attendance and provide reschedule option.
R068,Safety Leadership Workshop,Live,Safety,5/13/2026,Employee,HR,Engineer,3,The training would be stronger with role-specific scenarios.,Role Relevance,Mixed,"Create role-specific examples for office, field, and plant employees.",Recommend a role-specific learning path.
R069,Power BI Basics,Virtual,Analytics,5/27/2026,Employee,Nuclear,Intern,3,"The exercise was helpful, but the instructions should be clearer.",Hands-on Exercises,Mixed,Add step-by-step lab guide and completed example file.,Send lab guide and office-hours invite.
R070,Leading Through Change,Hybrid,Leadership,5/27/2026,Employee,Customer Service,Intern,4,Please send a quick reference guide after the training.,Follow-up Resources,Mixed,Send automated resource pack and next-course recommendations.,Send curated resource pack.
R071,Leading Through Change,Hybrid,Leadership,6/17/2026,Employee,HR,Project Manager,3,A sample completed exercise would make it easier to compare my work.,Hands-on Exercises,Mixed,Add step-by-step lab guide and completed example file.,Send lab guide and office-hours invite.
R072,Cybersecurity Essentials,Virtual,Compliance,5/15/2026,Intern,Customer Service,Supervisor,5,I would like a short study guide based on the topics we missed.,Follow-up Resources,Mixed,Send automated resource pack and next-course recommendations.,Send curated resource pack.
R073,Cybersecurity Essentials,Virtual,Compliance,6/12/2026,Contractor,HR,Intern,3,A follow-up email with links and next steps would help me retain this.,Follow-up Resources,Mixed,Send automated resource pack and next-course recommendations.,Send curated resource pack.
R074,Cybersecurity Essentials,Virtual,Compliance,6/5/2026,Intern,IT,Intern,4,Module 2 moved too fast and I needed more time to practice.,Pacing,Mixed,Add checkpoints and split Module 2 into shorter segments.,Offer a 5-minute recap and optional practice lab.
R075,AI for All,Virtual,Digital Upskilling,5/6/2026,Employee,Renewables,Manager,5,The instructor answered questions well and kept the group engaged.,Instructor Quality,Positive,Reuse facilitator approach and capture best-practice clips.,Ask attendee to share course with peers.
R076,Cybersecurity Essentials,Virtual,Compliance,6/17/2026,Contractor,HR,HR Partner,2,I had trouble accessing the file shared during the session.,Technical Issues,Negative,Send tested links and calendar updates 24 hours before session.,Send corrected link and support instructions.
R077,Safety Leadership Workshop,Live,Safety,5/6/2026,Employee,Nuclear,Supervisor,2,Registration was confusing and the calendar download did not work for me.,Registration Experience,Negative,"Automate reminders, updates, and attendance confirmation.",Confirm attendance and provide reschedule option.
R078,Safety Leadership Workshop,Live,Safety,5/15/2026,Employee,IT,Field Technician,2,I liked the concepts but wanted more examples for my business unit.,Role Relevance,Mixed,"Create role-specific examples for office, field, and plant employees.",Recommend a role-specific learning path.
R079,Leading Through Change,Hybrid,Leadership,6/5/2026,Employee,Renewables,Engineer,3,The training would be stronger with role-specific scenarios.,Role Relevance,Mixed,"Create role-specific examples for office, field, and plant employees.",Recommend a role-specific learning path.
R080,Cybersecurity Essentials,Virtual,Compliance,6/17/2026,Employee,Power Generation,Engineer,3,I wanted more coverage of how this applies after the session.,Content Gaps,Mixed,Add NextEra-specific case studies and optional advanced module.,Send deeper-dive material and collect additional questions.
R081,Safety Leadership Workshop,Live,Safety,5/27/2026,Employee,Finance,Intern,4,"The session was useful, but the middle section felt rushed.",Pacing,Mixed,Add checkpoints and split Module 2 into shorter segments.,Offer a 5-minute recap and optional practice lab.
R082,AI for All,Virtual,Digital Upskilling,6/17/2026,Employee,Finance,Engineer,5,The instructor was engaging and explained the topic clearly.,Instructor Quality,Positive,Reuse facilitator approach and capture best-practice clips.,Ask attendee to share course with peers.
R083,Safety Leadership Workshop,Live,Safety,5/6/2026,Employee,Nuclear,HR Partner,4,Please recommend what course to take next.,Follow-up Resources,Mixed,Send automated resource pack and next-course recommendations.,Send curated resource pack.
R084,Cybersecurity Essentials,Virtual,Compliance,5/27/2026,Employee,Renewables,Manager,3,"The session was useful, but the middle section felt rushed.",Pacing,Mixed,Add checkpoints and split Module 2 into shorter segments.,Offer a 5-minute recap and optional practice lab.
R085,Leading Through Change,Hybrid,Leadership,5/27/2026,Intern,Renewables,Supervisor,5,The instructor answered questions well and kept the group engaged.,Instructor Quality,Positive,Reuse facilitator approach and capture best-practice clips.,Ask attendee to share course with peers.
R086,Safety Leadership Workshop,Live,Safety,6/17/2026,Employee,Renewables,Field Technician,2,I would like a version tailored to field and plant employees.,Role Relevance,Mixed,"Create role-specific examples for office, field, and plant employees.",Recommend a role-specific learning path.
R087,Leading Through Change,Hybrid,Leadership,6/19/2026,Employee,IT,Supervisor,5,The instructor answered questions well and kept the group engaged.,Instructor Quality,Positive,Reuse facilitator approach and capture best-practice clips.,Ask attendee to share course with peers.
R088,Power BI Basics,Virtual,Analytics,5/20/2026,Employee,Finance,HR Partner,4,I would like a short study guide based on the topics we missed.,Follow-up Resources,Mixed,Send automated resource pack and next-course recommendations.,Send curated resource pack.
R089,Leading Through Change,Hybrid,Leadership,6/12/2026,Employee,Nuclear,Field Technician,4,The content was strong but the exercises needed more time.,Pacing,Mixed,Add checkpoints and split Module 2 into shorter segments.,Offer a 5-minute recap and optional practice lab.
R090,Cybersecurity Essentials,Virtual,Compliance,6/17/2026,Contractor,Renewables,Supervisor,5,The instructor was engaging and explained the topic clearly.,Instructor Quality,Positive,Reuse facilitator approach and capture best-practice clips.,Ask attendee to share course with peers.
R091,AI for All,Virtual,Digital Upskilling,6/10/2026,Contractor,Customer Service,Project Manager,2,The lab environment was slow and made the exercise hard to follow.,Technical Issues,Negative,Send tested links and calendar updates 24 hours before session.,Send corrected link and support instructions.
R092,Cybersecurity Essentials,Virtual,Compliance,5/22/2026,Employee,Legal,HR Partner,5,The speaker made the topic practical and approachable.,Instructor Quality,Positive,Reuse facilitator approach and capture best-practice clips.,Ask attendee to share course with peers.
R093,Safety Leadership Workshop,Live,Safety,5/22/2026,Employee,Nuclear,Field Technician,2,The Teams link was confusing and several people joined late.,Technical Issues,Negative,Send tested links and calendar updates 24 hours before session.,Send corrected link and support instructions.
R094,Leading Through Change,Hybrid,Leadership,5/20/2026,Employee,Customer Service,Supervisor,2,The cancellation notice did not make it obvious that the class moved.,Registration Experience,Negative,"Automate reminders, updates, and attendance confirmation.",Confirm attendance and provide reschedule option.
R095,AI for All,Virtual,Digital Upskilling,5/20/2026,Employee,HR,Manager,3,I liked the concepts but wanted more examples for my business unit.,Role Relevance,Mixed,"Create role-specific examples for office, field, and plant employees.",Recommend a role-specific learning path.
R096,Leading Through Change,Hybrid,Leadership,6/12/2026,Employee,IT,Project Manager,3,"The session was useful, but the middle section felt rushed.",Pacing,Mixed,Add checkpoints and split Module 2 into shorter segments.,Offer a 5-minute recap and optional practice lab.
R097,Cybersecurity Essentials,Virtual,Compliance,5/29/2026,Intern,Finance,Supervisor,2,The content was strong but the exercises needed more time.,Pacing,Mixed,Add checkpoints and split Module 2 into shorter segments.,Offer a 5-minute recap and optional practice lab.
R098,Safety Leadership Workshop,Live,Safety,6/19/2026,Employee,Renewables,Engineer,2,I liked the concepts but wanted more examples for my business unit.,Role Relevance,Mixed,"Create role-specific examples for office, field, and plant employees.",Recommend a role-specific learning path.
R099,Cybersecurity Essentials,Virtual,Compliance,5/13/2026,Intern,IT,Manager,3,I would like a short study guide based on the topics we missed.,Follow-up Resources,Mixed,Send automated resource pack and next-course recommendations.,Send curated resource pack.
R100,AI for All,Virtual,Digital Upskilling,6/17/2026,Intern,Legal,Field Technician,2,I would like a version tailored to field and plant employees.,Role Relevance,Mixed,"Create role-specific examples for office, field, and plant employees.",Recommend a role-specific learning path.
